,source,base,target,U,distance
0,LO-1,VO-1,VO-1_flipped,"[[ 0.1316517   0.99129604]
 [-0.99129604  0.1316517 ]]",0.7205829
1,LO-2,VO-1,VO-1_flipped,"[[-0.1106843   0.99385562]
 [-0.99385562 -0.1106843 ]]",0.7219582
2,PHC-1,VO-1,VO-1_flipped,"[[ 0.30699464 -0.95171124]
 [ 0.95171124  0.30699464]]",0.5455116
3,PHC-2,VO-1,VO-1,"[[ 0.49322766  0.8699003 ]
 [-0.8699003   0.49322766]]",0.7085859
4,TO-1,VO-1,VO-1_flipped,"[[ 0.70291013 -0.71127868]
 [ 0.71127868  0.70291013]]",0.76686156
5,TO-2,VO-1,VO-1,"[[-0.15046525  0.9886153 ]
 [-0.9886153  -0.15046525]]",0.558751
6,V1,VO-1,VO-1,"[[-0.5562379   0.83102316]
 [-0.83102316 -0.5562379 ]]",0.6097478
7,V2,VO-1,VO-1,"[[ 0.12167907  0.99256945]
 [-0.99256945  0.12167907]]",0.54793704
8,V3,VO-1,VO-1,"[[ 0.36195582  0.9321953 ]
 [-0.9321953   0.36195582]]",0.4103591
9,VO-2,VO-1,VO-1,"[[ 0.99770916 -0.0676491 ]
 [ 0.0676491   0.99770916]]",0.50028336
10,hV4,VO-1,VO-1,"[[ 0.93511945 -0.35433263]
 [ 0.35433263  0.93511945]]",0.5112537
